favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
79412,Twitter for iPhone,".....hundreds of billions of dollars, for the great privilege of losing hundreds of billions of dollars with these… https://t.co/XQWv7ciUgm",,False,Mon Nov 12 12:10:16 +0000 2018,18057,1061954325843468288
87470,Twitter for iPhone,"These California fires are expanding very, very quickly (in some cases 80-100 acres a minute). If people don’t evac… https://t.co/5WUnd01wou",,False,Sat Nov 10 22:20:40 +0000 2018,20504,1061383163811893248
123367,Twitter for iPhone,"Crooked Hillary Clinton’s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put… https://t.co/TAM3Zf9ovm",,False,Tue Jan 02 12:48:00 +0000 2018,34462,948174033882927104
69041,Twitter Media Studio,The United States and the European Union have a $1 TRILLION bilateral trade relationship – the largest economic rel… https://t.co/tZ5hQIITht,,False,Wed Jul 25 20:57:24 +0000 2018,17431,1022224319336726528
90651,Twitter for iPhone,I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderf… https://t.co/JK9pu1hoHv,,False,Tue Nov 20 04:19:18 +0000 2018,18129,1064734907941994497
125519,Twitter for iPhone,"The Rigged Witch Hunt, originally headed by FBI lover boy Peter S (for one year) &amp; now, 13 Angry Democrats, should… https://t.co/becFXtduBa",,False,Sat Jul 07 22:24:02 +0000 2018,33772,1015723140364865536
61749,Twitter for iPhone,"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe",,False,Tue Feb 27 22:55:36 +0000 2018,14317,968620661349470209
59909,Twitter for iPhone,....in Argentina with President Vladimir Putin. I look forward to a meaningful Summit again as soon as this situation is resolved!,realDonaldTrump,False,Thu Nov 29 16:34:19 +0000 2018,13026,1068181371883909121
95405,Twitter for iPhone,Jobless Claims fell to their lowest level in 49 years!,,False,Wed Sep 26 10:57:30 +0000 2018,20396,1044903785125089281
61856,Twitter for iPhone,“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN,,False,Tue Feb 27 12:28:59 +0000 2018,13609,968462966864609280
154399,Twitter for iPhone,Twitter “SHADOW BANNING” prominent Republicans. Not good. We will look into this discriminatory and illegal practic… https://t.co/Ml5infKJ0B,,False,Thu Jul 26 11:46:09 +0000 2018,48365,1022447980408983552
59893,Twitter for iPhone,"White House Counsel Don McGahn will be leaving his position in the fall, shortly after the confirmation (hopefully)… https://t.co/M3LEXMFTfx",,False,Wed Aug 29 14:30:35 +0000 2018,12221,1034810550025433090
92776,Twitter for iPhone,"Just had a long and very good conversation with President Xi Jinping of China. We talked about many subjects, with… https://t.co/oCSlKlE2Ny",,False,Thu Nov 01 14:09:10 +0000 2018,21056,1057997981922873344
56908,Twitter for iPhone,"With that being said, I have personally directed the fix to the unmasking process since taking office and today’s v… https://t.co/yvJkaKTGEr",realDonaldTrump,False,Thu Jan 11 14:14:51 +0000 2018,11235,951457382651056128
95264,Twitter Media Studio,Throwback Thursday! #MAGA https://t.co/8slzITa1l6,,False,Thu Aug 30 19:59:32 +0000 2018,26267,1035255721951035392
83620,Twitter for iPhone,"We are either going to have a REAL DEAL with China, or no deal at all - at which point we will be charging major Ta… https://t.co/JIqNBYOxT8",,False,Wed Dec 05 00:20:27 +0000 2018,18048,1070110615627333632
155379,Twitter for iPhone,"Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - A great day for Democracy. Sanctim… https://t.co/Cz8RmnXjLC",,False,Sat Mar 17 04:08:02 +0000 2018,43953,974859881827258369
73353,Twitter for iPhone,Disgraced and discredited Bob Mueller and his whole group of Angry Democrat Thugs spent over 30 hours with the Whit… https://t.co/PO5FmEeV8V,,False,Mon Aug 20 11:28:45 +0000 2018,17866,1031503298967363586
103703,Twitter for iPhone,"Got $1.6 Billion to start Wall on Southern Border, rest will be forthcoming. Most importantly, got $700 Billion to… https://t.co/0uCYCqGbgf",,False,Thu Mar 22 03:00:36 +0000 2018,22798,976654851684945920
52742,Twitter for iPhone,"“I’m taking this book with a grain of salt &amp; everyone should do the same. Multiple sources, but almost every one of… https://t.co/gGk5E8fzAl",,False,Mon Sep 10 11:46:35 +0000 2018,11789,1039117933623078912
112811,Twitter for iPhone,The United States does not need John Kerry’s possibly illegal Shadow Diplomacy on the very badly negotiated Iran De… https://t.co/Cj3oXHLWCC,,False,Mon May 07 14:08:37 +0000 2018,30928,993492804985872385
54356,Twitter for iPhone,It was my honor to welcome @NASCAR Cup Series Champion @MartinTruex_Jr and his team to the @WhiteHouse yesterday! https://t.co/5cr2oybrnQ,,False,Tue May 22 19:35:34 +0000 2018,10100,999010902472122368
49132,Twitter for iPhone,"On my way to Tampa, Florida. Look forward to seeing everyone soon! https://t.co/BSB6IjBK7r",,False,Tue Jul 31 20:49:25 +0000 2018,8003,1024396639216140288
70478,Twitter for iPhone,"Today, we tell the story of an incredible HERO who defended our nation in World War Two – First Lieutenant Garlin M… https://t.co/nrpii7C3KK",,False,Tue Jun 26 20:12:05 +0000 2018,14756,1011703668721246209
78911,Twitter for iPhone,"Departing the @WhiteHouse for Erie, Pennsylvania. I cannot disappoint the thousands of people that are there - and… https://t.co/f63EzMSJvE",,False,Wed Oct 10 19:52:23 +0000 2018,14440,1050111823842893824
104476,Twitter for iPhone,"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD",,False,Thu Jan 18 01:00:05 +0000 2018,37202,953794085751574534
66783,Twitter for iPhone,Rick Scott is known as easily one of the best Governors in the USA. Florida is setting records in almost every cate… https://t.co/lSi7GOw8tD,,False,Sat Oct 20 15:03:27 +0000 2018,18457,1053662989272793089
96744,Twitter for iPhone,"The illegal Mueller Witch Hunt continues in search of a crime. There was never Collusion with Russia, except by the… https://t.co/1yHeuYGKy9",,False,Sun Sep 16 14:20:07 +0000 2018,24947,1041330897948160002
99788,Twitter for iPhone,"Just spoke to Governor Jerry Brown to let him know that we are with him, and the people of California, all the way!",,False,Wed Nov 14 19:58:17 +0000 2018,16828,1062796884648120320
50105,Twitter for iPhone,"Amy Kremer, Women for Trump, was so great on @foxandfriends. Brave and very smart, thank you Amy! @AmyKremer",,False,Thu Jun 28 11:32:09 +0000 2018,9118,1012297599431401474
115209,Twitter for iPhone,#Remembering41 https://t.co/9xbFYlZzNs,,False,Tue Dec 04 02:21:18 +0000 2018,21990,1069778641603780608
57787,Twitter for iPhone,https://t.co/PeF12D2IqJ,,False,Mon Aug 20 23:49:27 +0000 2018,14814,1031689704067018752
73906,Twitter for iPhone,"Thank you to Steve Rogers, FBI Joint Terror Task Force (Ret), for his very kind and generous remarks about me and m… https://t.co/0PT5wmiXJs",,False,Sun Oct 28 16:53:15 +0000 2018,16296,1056589723911757824
120959,Twitter for iPhone,"I would rather take a political risk in pursuit of peace, than to risk peace in pursuit of politics. #HELSINKI2018 https://t.co/XdlrJWLPIh",,False,Mon Jul 16 20:29:54 +0000 2018,33687,1018955906690584576
122004,Twitter for iPhone,"A Rocket has not been launched by North Korea in 9 months. Likewise, no Nuclear Tests. Japan is happy, all of Asia… https://t.co/g3B65VpB08",,False,Mon Jul 23 13:06:18 +0000 2018,28751,1021380986452545537
41132,Twitter for iPhone,Thank you Ohio! When you enter the voting booth tomorrow you will be making a simple choice. A vote for Republicans… https://t.co/tQRwV9W36n,,False,Mon Nov 05 21:26:24 +0000 2018,11104,1059557569818181632
113723,Twitter for iPhone,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U… https://t.co/9JK8HHq2bb,,False,Mon Feb 05 12:11:56 +0000 2018,28095,960486144818450432
74848,Twitter for iPhone,Our great financial team is in China trying to negotiate a level playing field on trade! I look forward to being wi… https://t.co/cBpZb9oSuJ,,False,Thu May 03 03:45:24 +0000 2018,14749,991886413686861824
88226,Twitter Web Client,"...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Isra… https://t.co/on5fwpqknG",realDonaldTrump,False,Tue Jan 02 22:37:57 +0000 2018,18136,948322497602220032
89181,Twitter for iPhone,"Under our potential deal with China, they will purchase from our Great American Farmers practically as much as our Farmers can produce.",,False,Mon May 21 13:16:31 +0000 2018,19159,998553122179084290
